id,english,japanese,part,level,wordbook_id,created_at,updated_at
32,are supposed to,ことになっている,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:39:12 +0900
33,raise,を育てる,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
34,prefer to,を好む,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
35,enter,に入る,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
36,suffer,を受ける,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
37,describe,の特徴を言う,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
38,prevent from,をさまげる,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
39,reduce,を減らす,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
40,mistake for,間違える,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
41,prepare for,を準備する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
42,encourage to,すすめる,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
43,prove to be,だとわかる,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 18:39:03 +0900
44,join,に入る,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
45,treat,をあつかう,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
46,establish,を確立する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
47,related,関係のある,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
48,compare with,を比較する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
49,spread,を広げる,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
50,refer to,指示する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
51,supply with,を供給する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
52,gain,を得る,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
53,destroy,を破壊する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
54,apply to,を当てはめる,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
55,seek,を求める,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
56,search for,を捜す,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
57,claim,と主張する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
58,draw,を描く,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
59,introduce to,を紹介する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
60,refuse to,を拒む,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
61,mention,を口にする,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
62,judge by,判断する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
63,approaching,に接近している,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
64,admit,と認める,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
65,reflect,を反映する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
66,perform,を遂行する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
67,boring,退屈な,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
68,survive,生き残る,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
69,represent,を表す,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
70,argue,と主張する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
71,take for granted,を当然と考える,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:39:47 +0900
72,indicate,を示す,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
73,belong to,のものだ,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
74,acquire,を習得する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
75,reply to,返事をする,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
76,feed,を養う,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
77,escape from,逃避する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
78,replace,に取って代わる,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
79,reveal,を明らかにする,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
80,is surrounded,囲まれている,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
81,suit,に合っている,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
82,estimated,推定,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
83,aim at,ねらう,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
84,earn,をかせぐ,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
85,decline,低下し,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
86,can't afford to,-する余裕がない,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:57:46 +0900
87,confused,当惑する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
88,graduate from,卒業する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
89,vary,変わる,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
90,remove,を取り除く,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
91,insist on,言い張る,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
92,examine,を調べる,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
93,remind of,を思い出させる,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
94,contribute to,貢献する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
95,warn of,警告する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
96,connect to,つなぐ,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
97,match,に匹敵する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
98,focus on,焦点を合わせる,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
99,reject,を拒否する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
100,convince,確信される,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
101,associated with,結びつけ,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
102,rush,急いで行く,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
103,stress,を強調する,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
104,attract,を引きつける,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
105,rely on,頼る,動詞,Basic Stage,2,2020-10-11 17:24:27 +0900,2020-10-11 17:24:27 +0900
106,respond to,答える,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
107,threaten to,と脅迫する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
108,adopt,を採用する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
109,shake,振る,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
110,hurt,を傷つける,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
111,operate,を操作する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
112,extend,を延ばす,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
113,blame for,のせいにする,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
114,consist of,構成されている,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
115,persuade to,を説得して,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
116,admire,に感嘆する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
117,disappointed with,失望する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
118,expand,を拡大する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
119,preserve,を保護する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
120,struggle,もがく,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
121,arrange,の手はずを整える,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
122,disturb,を妨げる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
123,employ,を雇う,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
124,engage in,従事する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
125,abandoned,捨てられた,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
126,display,を示す,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
127,encounter,に出会う,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
128,exhausted,疲れ果てている,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
129,bother,おじゃまし,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
130,concentrate on,集中する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
131,adapt to,適応する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
132,puzzled,頭を悩ませる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
133,appeal to,訴えかける,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
134,combine,を結合させる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
135,delay,を遅らせる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
136,repair,を修理する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
137,fascinating,夢中にさせる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
138,devoted to,をささげた,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
139,imported,輸入された,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
140,remark,と述べる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
141,reserve,を予約する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
142,amazing,驚異的な,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
143,frightened of,恐れる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
144,release from,を解放する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
145,rent,を借りる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
146,recover from,回復する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
147,suspect,ではないかと疑う,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
148,deliver to,を渡す,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
149,identify,の身元を特定する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
150,is located in,にある,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:43:54 +0900
151,manufacturing,を製造する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
152,occupy,を占める,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
153,own,を所有している,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
154,exposed to,さらされている,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:58:25 +0900
155,conclude,結論を下す,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
156,cure of,を治す,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
157,perceive,に気付く,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
158,ban,を禁ずる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
159,alarmed,ぎょっとする,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
160,derive,由来する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
161,neglect,を無視する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
162,adjust to,慣れる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
163,shift,を変える,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
164,embarrassed,恥ずかしい,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
165,approve of,承認する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
166,commit,を犯す,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
167,stretch,を広げる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
168,participate in,参加する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
169,impose on,を押し付ける,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
170,owe to,のおかげだ,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
171,celebrate,を祝う,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
172,emerged,出現した,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
173,urge to,を駆り立てる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 18:03:02 +0900
174,be seated,座っている,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
175,be injured,負傷する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
176,imply,を意味する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
177,explain,を説明する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
178,accept,を受け入れる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
179,produce,を生産する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
180,exist,存在する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
181,occur,起こる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
182,express,を表現する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
183,add to,を加える,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
184,avoid ing,を避ける,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
185,marry,と結婚する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
186,protect from,を守る,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
187,affect,に影響する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
188,determine,を決定する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
189,solve,を解決する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
190,contain,を含んでいる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
191,discuss,を議論する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
192,ignore,を無視する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
193,guess,を推測する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
194,exchange for,交換する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
195,satisfy,満たす,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
196,complain about,苦情を言う,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
197,achieve,を達成する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
198,enable to,を可能にする,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
199,intend to,つもりだ,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
200,obtain,を得る,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
201,divide into,分割する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
202,distinguish from,を見分ける,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
203,differ from,異なる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
204,educate,を教育する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
205,borrow from,を借りる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
206,invent,を発明する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
207,promote,を促進する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
208,advise to,に忠告する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
209,arise from,生じる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
210,permit to,を許す,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
211,recommend to,を勧める,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
212,define as,定義する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
213,inform of,に知らせる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
214,oppose,に反対する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
215,trust,を信用する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
216,select,を選ぶ,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
217,praise for,をほめる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
218,handle,に対処する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
219,propose,を提案する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
220,breathe,を呼吸する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
221,criticize for,を非難する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
222,overcome,に打ち勝つ,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
223,possess,を持っている,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
224,predict,を予言する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
225,publish,を出版する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
226,purchase,を買う,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
227,recall,を思い出す,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
228,explore,を探検する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
229,stare at,じっと見る,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
230,absorb,を吸収する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
231,resemble,に似ている,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
232,tear,を引き裂く,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
233,consume,を消費する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
234,compete with,競争する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
235,quite,をやめる,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:45:19 +0900
236,announce,を発表する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
237,react to,反応する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
238,wander,歩き回る,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
239,emphasize,を強調する,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
240,generate,を生み出す,動詞,Basic Stage,2,2020-10-11 17:24:28 +0900,2020-10-11 17:24:28 +0900
